Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
,,,,,,,000001,16/02/2023,Vente,"215000,00",73,,RUE,7135,PASTEUR,93000,BOBIGNY,93,8,,N,9,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,269
,,,,,,,000001,16/02/2023,Vente,"215000,00",73,,RUE,7135,PASTEUR,93000,BOBIGNY,93,8,,N,9,,,,,,,,,,,,0,1,Maison,,72,3,S,,269
,,,,,,,000001,01/02/2023,Vente,"510000,00",26,,AV,0619,DE BELLEVILLE,93000,BOBIGNY,93,8,,AK,57,,,,,,,,,,,,0,1,Maison,,110,3,S,,496
,,,,,,,000001,08/02/2023,Vente,"245000,00",4,,ALL,1450,DES CERISIERS,93000,BOBIGNY,93,8,,R,45,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,259
,,,,,,,000001,08/02/2023,Vente,"245000,00",4,,ALL,1450,DES CERISIERS,93000,BOBIGNY,93,8,,R,45,,,,,,,,,,,,0,1,Maison,,95,5,S,,259
,,,,,,,000001,08/02/2023,Vente,"245000,00",23,,RUE,6130,DES MARAIS,93000,BOBIGNY,93,8,,R,64,,,,,,,,,,,,0,,,,,,S,,18
,,,,,,,000001,08/02/2023,Vente,"245000,00",23,,RUE,6130,DES MARAIS,93000,BOBIGNY,93,8,,R,65,,,,,,,,,,,,0,,,,,,S,,421
,,,,,,,000001,27/01/2023,Vente en l'état futur d'achèvement,"277453,00",,,RUE,1431,CARNOT,93000,BOBIGNY,93,8,,AF,564,,36129,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,15/02/2023,Vente en l'état futur d'achèvement,"367000,00",64,,RUE,6820,D ODESSA,93000,BOBIGNY,93,8,,AY,76,,47,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,15/02/2023,Vente en l'état futur d'achèvement,"367000,00",64,,RUE,6820,D ODESSA,93000,BOBIGNY,93,8,,AY,76,,102,,,,,,,,,,1,,,,,,,,
